date,INDPRO,INDPRO Trend,dindprod3,INDPRO Monthly,INDPRO Quarterly,INDPRO Forecast Surprise,INDPRO Forecast Surprise Normalized,INDPRO Forecast Surprise Signal,INDPRO Trend Surprise,INDPRO Trend Surprise Normalized,INDPRO Trend Surprise Signal,INDPRO Combined Surprise Normalized,INDPRO Combined Surprise Signal,CPURNSA Index,CPURNSA Index Trend,CPI SPF Forecast,CPURNSA Index Monthly,CPURNSA Index Quarterly,CPI Forecast Surprise,CPI Forecast Surprise Normalized,CPI Forecast Surprise Signal,CPI Trend Surprise,CPI Trend Surprise Normalized,CPI Trend Surprise Signal,CPI Combined Surprise Normalized,CPI Combined Surprise Signal
1969-12-31,39.8115,,0.0,,,,,,,,,,,37.7,,0.03137,,,,,,,,,,
1970-01-31,39.0743,,-0.022921999999999998,-0.20091682581056736,-0.07928277841546494,-0.05636077841546494,-0.9392556477350206,0.0,,,,,,37.8,,0.030886,0.03229873602118416,0.054115139467388884,0.023229139467388884,0.7027271348531391,1.0,,,,,
1970-02-28,39.0485,,-0.022921999999999998,-0.007894655699216435,-0.07928277841546494,-0.05636077841546494,-0.9392556477350206,0.0,,,,,,38.0,,0.030886,0.06537269383829036,0.054115139467388884,0.023229139467388884,0.7027271348531391,1.0,,,,,
1970-03-31,38.9978,,-0.022921999999999998,-0.015469841136442675,-0.07928277841546494,-0.05636077841546494,-0.9392556477350206,0.0,,,,,,38.2,,0.030886,0.06501860728058628,0.054115139467388884,0.023229139467388884,0.7027271348531391,1.0,,,,,
1970-04-30,38.8975,,0.0,-0.030430419011052035,-0.027538172557735274,-0.027538172557735274,-0.45892524607249147,0.0,,,,,,38.5,,0.030649000000000003,0.09841991714142084,0.06432300828815074,0.03367400828815074,1.018704950158577,1.0,,,,,
1970-05-31,38.8522,,0.0,-0.013886022560791744,-0.027538172557735274,-0.027538172557735274,-0.45892524607249147,0.0,,,,,,38.6,,0.030649000000000003,0.031617977952504095,0.06432300828815074,0.03367400828815074,1.018704950158577,1.0,,,,,
1970-06-30,38.7265,,0.0,-0.038140603574383536,-0.027538172557735274,-0.027538172557735274,-0.45892524607249147,0.0,,,,,,38.8,,0.030649000000000003,0.06397898725218587,0.06432300828815074,0.03367400828815074,1.018704950158577,1.0,,,,,
1970-07-31,38.8216,,0.023738000000000002,0.02986947454837452,-0.024691525255882252,-0.048429525255882254,-0.8070808529009204,0.0,,,,,,39.0,,0.030187,0.06363979386883134,0.04187919474913704,0.01169219474913704,0.3537118767460555,1.0,,,,,
1970-08-31,38.7524,,0.023738000000000002,-0.021181689728595576,-0.024691525255882252,-0.048429525255882254,-0.8070808529009204,0.0,,,,,,39.0,,0.030187,0.0,0.04187919474913704,0.01169219474913704,0.3537118767460555,1.0,,,,,
1970-09-30,38.4852,,0.023738000000000002,-0.07967393269820411,-0.024691525255882252,-0.048429525255882254,-0.8070808529009204,0.0,,,,,,39.2,,0.030187,0.06330417699760327,0.04187919474913704,0.01169219474913704,0.3537118767460555,1.0,,,,,
1970-10-31,37.7154,,0.048184,-0.2153072446894868,-0.01419423546468912,-0.06237823546468912,-1.0395369191685584,0.0,,,,,,39.4,,0.02996,0.06297208038448376,0.06264455250168166,0.03268455250168166,0.9887719674553038,1.0,,,,,
1970-11-30,37.486999999999995,,0.048184,-0.07029831659601571,-0.01419423546468912,-0.06237823546468912,-1.0395369191685584,0.0,,,,,,39.6,,0.02996,0.06264344894871576,0.06264455250168166,0.03268455250168166,0.9887719674553038,1.0,,,,,
1970-12-31,38.3479,,0.048184,0.31319977548587596,-0.01419423546468912,-0.06237823546468912,-1.0395369191685584,0.0,,,,,,39.8,,0.02996,0.06231822875236981,0.06264455250168166,0.03268455250168166,0.9887719674553038,1.0,,,,,
1971-01-31,38.6429,-0.036149618118004656,0.15457,0.09632040846723955,0.01885519164802818,-0.13571480835197183,-2.2616951683351574,0.0,0.1324700265852442,1.5458538323957691,1.0,-0.35792066796969413,0.0,39.8,0.05572491784235467,0.037013,0.0,0.020252522051322552,-0.016760477948677445,-0.5070374072263149,0.0,-0.05572491784235467,-1.4178890000210005,0.0,-0.9624632036236577,0.0
1971-02-28,38.5692,-0.010501891317590717,0.15457,-0.022647929891147167,0.01885519164802818,-0.13571480835197183,-2.2616951683351574,0.0,-0.01214603857355645,-0.14173772559241363,0.0,-1.2017164469637855,0.0,39.9,0.05294058392847689,0.037013,0.030570919303423594,0.020252522051322552,-0.016760477948677445,-0.5070374072263149,0.0,-0.022369664625053298,-0.5691834574929492,0.0,-0.538110432359632,0.0
1971-03-31,38.5274,-0.01173610229193045,0.15457,-0.012927954957238197,0.01885519164802818,-0.13571480835197183,-2.2616951683351574,0.0,-0.0011918526653077466,-0.013908278406900537,0.0,-1.137801723371029,0.0,40.0,0.050031289473041474,0.037013,0.03049324124991526,0.020252522051322552,-0.016760477948677445,-0.5070374072263149,0.0,-0.019538048223126214,-0.49713458054476556,0.0,-0.5020859938855402,0.0
1971-04-30,38.7438,-0.01152377239133795,0.098089,0.06952304661595132,0.061188663789508935,-0.03690033621049106,-0.6149462474335647,0.0,0.08104681900728927,0.9457727079512794,1.0,0.16541323025885735,1.0,40.1,0.047151844961919265,0.035033,0.030415956913506736,0.06136355062500054,0.02633055062500054,0.7965509194082965,1.0,-0.01673588804841253,-0.42583520062888175,0.0,0.18535785938970736,1.0
1971-05-31,38.9404,-0.003391085937225591,0.098089,0.06262084230527254,0.061188663789508935,-0.03690033621049106,-0.6149462474335647,0.0,0.06601192824249813,0.7703236338662213,1.0,0.07768869321632826,1.0,40.3,0.041581130543149714,0.035033,0.061519758435568894,0.06136355062500054,0.02633055062500054,0.7965509194082965,1.0,0.01993862789241918,0.507327103543711,1.0,0.6519390114760037,1.0
1971-06-30,39.1037,0.002846297989069546,0.098089,0.05150012473229526,0.061188663789508935,-0.03690033621049106,-0.6149462474335647,0.0,0.048653826743225714,0.5677639423083881,1.0,-0.023591152562588313,0.0,40.6,0.04406491636521559,0.035033,0.09307975110354394,0.06136355062500054,0.02633055062500054,0.7965509194082965,1.0,0.04901483473832835,1.247154732644579,1.0,1.021852826026438,1.0
1971-07-31,38.9902,0.010320012025537117,0.02388,-0.03427977611153343,0.030017261922834715,0.006137261922834716,0.10227782661479137,1.0,-0.04459978813707055,-0.5204554961824821,0.0,-0.20908883478384538,0.0,40.7,0.04642140875611522,0.040457,0.02996035384730633,0.019850511507195634,-0.020606488492804366,-0.623386787025061,0.0,-0.016461054908808892,-0.41884222691849166,0.0,-0.5211145069717763,0.0
1971-08-31,38.7639,0.004924375820771099,0.02388,-0.06746740733070733,0.030017261922834715,0.006137261922834716,0.10227782661479137,1.0,-0.07239178315147843,-0.8447731030435356,0.0,-0.3712476382143721,0.0,40.8,0.04361895262505788,0.040457,0.02988574359378937,0.019850511507195634,-0.020606488492804366,-0.623386787025061,0.0,-0.013733209031268512,-0.3494337322400596,0.0,-0.4864102596325603,0.0
1971-09-30,39.3939,0.0008921511929556036,0.02388,0.21343959800836476,0.030017261922834715,0.006137261922834716,0.10227782661479137,1.0,0.21254744681540916,2.4803141789520495,1.0,1.2912960027834204,1.0,40.8,0.04617688922807184,0.040457,0.0,0.019850511507195634,-0.020606488492804366,-0.623386787025061,0.0,-0.04617688922807184,-1.174944815116567,0.0,-0.8991658010708139,0.0
1971-10-31,39.6888,0.024305715129018024,0.072044,0.093623615501641,0.09712006335127032,0.025076063351270328,0.4178940530597625,1.0,0.06931790037262298,0.8089025472920328,1.0,0.6133983001758977,1.0,40.9,0.040844521906095554,0.036732,0.029811503994838784,0.02973775226159514,-0.00699424773840486,-0.21158974401795957,0.0,-0.01103301791125677,-0.2807288972172422,0.0,-0.24615932061760087,0.0
1971-11-30,39.8572,0.05276200379897733,0.072044,0.052121301438088796,0.09712006335127032,0.025076063351270328,0.4178940530597625,1.0,-0.0006407023608885343,-0.00747665132660947,0.0,0.20520870086657653,1.0,40.9,0.03809769816309605,0.036732,0.0,0.02973775226159514,-0.00699424773840486,-0.21158974401795957,0.0,-0.03809769816309605,-0.9693743704457582,0.0,-0.5904820572318589,0.0
1971-12-31,40.3174,0.06360881626148873,0.072044,0.1477010484214487,0.09712006335127032,0.025076063351270328,0.4178940530597625,1.0,0.08409223215995998,0.9813110385052863,1.0,0.6996025457825245,1.0,41.1,0.03285672672273998,0.036732,0.060283898927674606,0.02973775226159514,-0.00699424773840486,-0.21158974401795957,0.0,0.027427172204934624,0.6978688758424786,1.0,0.2431395659122595,1.0
1972-01-31,41.2866,0.05158836067431083,0.076889,0.3298394952487431,0.1749675107106985,0.0980785107106985,1.634484080886755,1.0,0.2782511345744323,3.2470408124630796,1.0,2.4407624466749174,1.0,41.1,0.032691380962982075,0.033919000000000005,0.0,0.029518314793522737,-0.004400685206477267,-0.13312937876497158,0.0,-0.032691380962982075,-0.8318136886991878,0.0,-0.4824715337320797,0.0
1972-02-29,41.68,0.06883455757263723,0.076889,0.12052896497679977,0.1749675107106985,0.0980785107106985,1.634484080886755,1.0,0.051694407404162535,0.6032458802877168,1.0,1.1188649805872357,1.0,41.3,0.032691380962982075,0.033919000000000005,0.05998265160278504,0.029518314793522737,-0.004400685206477267,-0.13312937876497158,0.0,0.027291270639802967,0.6944109374237816,1.0,0.280640779329405,1.0
1972-03-31,41.9758,0.08105339334872341,0.076889,0.08856723862807536,0.1749675107106985,0.0980785107106985,1.634484080886755,1.0,0.0075138452793519495,0.0876825257798272,1.0,0.8610833033332911,1.0,41.4,0.0351180439477925,0.033919000000000005,0.02944577033914375,0.029518314793522737,-0.004400685206477267,-0.13312937876497158,0.0,-0.005672273608648748,-0.14432779205821508,0.0,-0.13872858541159333,0.0
1972-04-30,42.4207,0.08987271626151738,0.11472099999999999,0.1348701815000537,0.052657795842889765,-0.062063204157110224,-1.034286904119518,0.0,0.044997465238536316,0.5250961736791482,1.0,-0.2545953652201849,0.0,41.5,0.03503035821242673,0.033729,0.02937369775378662,0.02930209189336419,-0.0044269081066358115,-0.13392267304614044,0.0,-0.005656660458640106,-0.14393052429165581,0.0,-0.13892659866889812,0.0
1972-05-31,42.3956,0.09527609751576804,0.11472099999999999,-0.007077246091547473,0.052657795842889765,-0.062063204157110224,-1.034286904119518,0.0,-0.10235334360731552,-1.194408369595014,0.0,-1.114347636857266,0.0,41.6,0.03494310972211423,0.033729,0.029301977098223464,0.02930209189336419,-0.0044269081066358115,-0.13392267304614044,0.0,-0.0056411326238907655,-0.14353542732358995,0.0,-0.1387290501848652,0.0
