,date,realtime_end,realtime_start,value
0,1969-12-01,2018-04-12,2018-04-12,39.8115
1,1970-01-01,2018-04-12,2018-04-12,39.0743
2,1970-02-01,2018-04-12,2018-04-12,39.0485
3,1970-03-01,2018-04-12,2018-04-12,38.9978
4,1970-04-01,2018-04-12,2018-04-12,38.8975
5,1970-05-01,2018-04-12,2018-04-12,38.8522
6,1970-06-01,2018-04-12,2018-04-12,38.7265
7,1970-07-01,2018-04-12,2018-04-12,38.8216
8,1970-08-01,2018-04-12,2018-04-12,38.7524
9,1970-09-01,2018-04-12,2018-04-12,38.4852
10,1970-10-01,2018-04-12,2018-04-12,37.7154
11,1970-11-01,2018-04-12,2018-04-12,37.487
12,1970-12-01,2018-04-12,2018-04-12,38.3479
13,1971-01-01,2018-04-12,2018-04-12,38.6429
14,1971-02-01,2018-04-12,2018-04-12,38.5692
15,1971-03-01,2018-04-12,2018-04-12,38.5274
16,1971-04-01,2018-04-12,2018-04-12,38.7438
17,1971-05-01,2018-04-12,2018-04-12,38.9404
18,1971-06-01,2018-04-12,2018-04-12,39.1037
19,1971-07-01,2018-04-12,2018-04-12,38.9902
20,1971-08-01,2018-04-12,2018-04-12,38.7639
21,1971-09-01,2018-04-12,2018-04-12,39.3939
22,1971-10-01,2018-04-12,2018-04-12,39.6888
23,1971-11-01,2018-04-12,2018-04-12,39.8572
24,1971-12-01,2018-04-12,2018-04-12,40.3174
25,1972-01-01,2018-04-12,2018-04-12,41.2866
26,1972-02-01,2018-04-12,2018-04-12,41.68
27,1972-03-01,2018-04-12,2018-04-12,41.9758
28,1972-04-01,2018-04-12,2018-04-12,42.4207
29,1972-05-01,2018-04-12,2018-04-12,42.3956
30,1972-06-01,2018-04-12,2018-04-12,42.5178
31,1972-07-01,2018-04-12,2018-04-12,42.5004
32,1972-08-01,2018-04-12,2018-04-12,43.0644
33,1972-09-01,2018-04-12,2018-04-12,43.3948
34,1972-10-01,2018-04-12,2018-04-12,43.9709
35,1972-11-01,2018-04-12,2018-04-12,44.4866
